mutation_rate,mean_fitness,std_fitness,best_fitness,mean_generations,mean_time_s,,,,,,,,
0.01,0.02294652,0.0146341,0.00080219,59.8,59.8,,,,,,,,
0.03,0.01462659,0.02604951,-0.01605154,52.8,52.8,,,,,,,,
0.05,0.02172486,0.01423062,0.01175195,54,54,,,,,,,,
0.08,0.01685152,0.01108045,0.00032042,51,51,,,,,,,,
0.1,0.00772504,0.011764,-0.00557009,51.2,51.2,,,,,,,,
0.15,0.01480163,0.01662852,-0.010545,60.8,60.8,,,,,,,,
,,,,,,,,,,,,,
,,,,,Mutation Rate,Mean Fitness,STDEV,Best Fitness,Gap To Best,CV (%),Time ,Mean Generations,Relative Improvement
,,,,,1.00%,0.02294652,0.01463410,0.00080219,0.01522148,63.77%,59.80,59.80,
,,,,,3.00%,0.01462659,0.02604951,-0.01605154,0.00690155,178.10%,52.80,52.80,36.26%
,,,,,5.00%,0.02172486,0.01423062,0.01175195,0.01399982,65.50%,54.00,54.00,-48.53%
,,,,,8.00%,0.01685152,0.01108045,0.00032042,0.00912648,65.75%,51.00,51.00,22.43%
,,,,,10.00%,0.00772504,0.01176400,-0.00557009,0.00000000,152.28%,51.20,51.20,54.16%
,,,,,15.00%,0.01480163,0.01662852,-0.01054500,0.00707659,112.34%,60.80,60.80,-91.61%
